orig_no,taxon_no,record_type,flags,taxon_rank,taxon_name,common_name,difference,accepted_no,accepted_rank,accepted_name,parent_no,container_no,reference_no,is_extant,n_occs,early_interval,late_interval,taxon_size,extant_size,phylum,class,order,family,genus,type_taxon,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement
37782,37782,txn,,genus,Drepanosaurus,,,37782,genus,Drepanosaurus,164341,UF6,4783,extinct,7,Norian,Rhaetian,2,0,Chordata,Reptilia,,Drepanosauridae,Drepanosaurus,Drepanosaurus unguicaudatus,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
132495,132495,txn,,species,Drepanosaurus unguicaudatus,,,132495,species,Drepanosaurus unguicaudatus,37782,,28085,extinct,3,Norian,,1,0,Chordata,Reptilia,,Drepanosauridae,Drepanosaurus,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
38291,38291,txn,,genus,Megalancosaurus,,,38291,genus,Megalancosaurus,164341,UF6,28011,extinct,8,Norian,Rhaetian,3,0,Chordata,Reptilia,,Drepanosauridae,Megalancosaurus,Megalancosaurus preonensis,terrestrial,Diapsida,actively mobile,arboreal,,insectivore,,,,hydroxyapatite,,,
164347,164347,txn,,species,Megalancosaurus endennae,,,164347,species,Megalancosaurus endennae,38291,,32240,extinct,1,Norian,,1,0,Chordata,Reptilia,,Drepanosauridae,Megalancosaurus,,terrestrial,Diapsida,actively mobile,arboreal,,insectivore,,,,hydroxyapatite,,,
131744,131744,txn,,species,Megalancosaurus preonensis,,,131744,species,Megalancosaurus preonensis,38291,,28011,extinct,2,Norian,Rhaetian,1,0,Chordata,Reptilia,,Drepanosauridae,Megalancosaurus,,terrestrial,Diapsida,actively mobile,arboreal,,insectivore,,,,hydroxyapatite,,,
371882,371882,txn,,genus,Avicranium,,,371882,genus,Avicranium,37781,,66007,extinct,2,Rhaetian,,2,0,Chordata,Reptilia,,Drepanosauridae,Avicranium,Avicranium renestoi,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
371883,371883,txn,,species,Avicranium renestoi,,,371883,species,Avicranium renestoi,371882,,66007,extinct,1,Rhaetian,,1,0,Chordata,Reptilia,,Drepanosauridae,Avicranium,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
162283,162283,txn,,genus,Dolabrosaurus,,,162283,genus,Dolabrosaurus,37781,,31827,extinct,2,Norian,,2,0,Chordata,Reptilia,,Drepanosauridae,Dolabrosaurus,Dolabrosaurus aquatilis,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
110225,110225,txn,,species,Dolabrosaurus aquatilis,,,110225,species,Dolabrosaurus aquatilis,162283,,31827,extinct,1,Norian,,1,0,Chordata,Reptilia,,Drepanosauridae,Dolabrosaurus,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
263292,263292,txn,,genus,Kyrgyzsaurus,,,263292,genus,Kyrgyzsaurus,37781,,45813,extinct,2,Ladinian,Carnian,2,0,Chordata,Reptilia,,Drepanosauridae,Kyrgyzsaurus,Kyrgyzsaurus bukhanchenkoi,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
